Question,Answer,,Question,Answer,,Question,Answer
7-Eleven stores were temporarily converted into Kwik E-marts to promote the release of what movie?,THE SIMPSONS MOVIE,,"On an old-fashioned rotary phone,what number requires the longest turn of the dial?",0 *CORRECT*,,"In the AAMCO song, when does the double beep occur.",AFTER THE DOUBLE A
"`Famous for their work on modernist furniture design, Charles and Ray Eames were related how?",HUSBAND AND WIFE,,"On an ’80s TV series, a plucky orphan named Penelope Brewster was better known as what?",PUNKY,,"In the abbreviation for the medical procedure popularly known as an MRI,what does the “I’ stand for?",IMAGING
A 1952 episode of “I Love Lucy was titled “Lucy Is Enceinte” because what English word was censored?,PREGNANT,,"On average, what denomination of U.S. paper currency remains in circulation the longest?",100 DOLLAR BILL,,"In the acronym SRS, a common term for automobile airbags,the letter “R” stands for what?",RESTRAINT
"A 1960s TV character played by Al Lewis, Count Vladimir Dracula is better known by what name?",GRANDPA MUNSTER,,"On average, what is the most abundant gas released into the atmosphere by a volcano?",WATER VAPOR,,"In the act that incited WWI,Serbian Gavrilo Princip assassinated Archduke Franz Ferdinand in 1914 in what city?",SARAJEVO
A 1985 North Atlantic expedition led by Robert Ballard discovered the wreck of what famous ship 73 years after it sank?,TITANIC,,"On average,a healthy person’s resting heart rate falls into which of these ranges of “beats per minute”?",60-100 *CORRECT*,,"In the agency abbreviation “EEOC,” the first E stands for “equal” and the second stands for what?",EMPLOYMENT
A 1995 documentary subtitled “Hollywood Madam” examines the rise and fall of what scandalous figure?,HEIDI FLEISS,,"On December 21, 1864, General Sherman’s famous “March to the Sea” concluded with the capture of what Southern city?",SAVANNAH,,"In the animal kingdom, what term is used to describe the male who is the dominant member of a group?",ALPHA
A 2006 study of phone conversations found that which statement was meant sarcastically 23 percent of the time?,"YEAH,RIGHT",,"On dress shirts,button-down,spread and tab are popular types of what?",COLLAR,,"In the Bahamas, Oct 12th is Discovery Day, marking the arrival of what European explorer?",CHRISTOPHER COLUMBUS
A 2008 study in “Reference Services Review” found which of these websites to be about 80% accurate?,WIKIPEDIA.ORG,,"On food packaging, a circle with a “U” indicates that the food is certified as what?",KOSHER,,"In the Bible, whose height is given as “six cubits and a span,” somewhere between nine and twelve feet?",GOLIATH
A 2009 New York Times article coined the term “Ralph Kramden” to refer to what physical trait?,POT BELLY,,"On HBO’s “Entourage,” movie star Vincent Chase stars in all but which of these fictional movies?",VALENTINO,,"In the Bizet opera, “Carmen,” the flirtatious Carmen works in what type of establishment?",CIGARETTE FACTORY
"A 2010 Billboard hit,”Dog Days are Over” is a song by the British band “Florence and the” what?",MACHINE,,"On his past troubles,who admitted to Leno on a 2011 “Tonight Show” appearance, “I realized I was pretty much LOSING”?",CHARLIE SHEEN,,"In the board game Risk,what continent has the most territories for a player to occupy?",ASIA
A 2010 study by dating Web site Badoo.com found which of these nation’s women to be most flirtatious online?,SPAIN,,"On his show “Man v Food,” host Adam Richman won the “Davy Jones Locker Challenge” by eating 7 pounds of what?",SEAFOOD,,"In the British royal family,which of the following is not the name of one of Prince Charles’s three siblings?",MARGARET
A 2010 study found that nearly 70% of what imported item failed to live up to its claims of being “extra virgin”?,OLIVE OIL,,"On his talk show “Maury,” host Maury Povich famously says to some of his guests “you are NOT” what?",THE FATHER,,"In the Broadway musical “Cats,” costumed actors romp around a set designed to look like a what?",JUNKYARD
"A 2010 Time magazine article debunks the myth that what group of people are “spoiled,selfish,solitary misfits”?",ONLY CHILDREN,,"On Home Depot’s web site, “islands” are items marked for what room of the house?",KITCHEN,,"In the business abbreviation “R & D,” the “R” stands for what?",RESEARCH
A 2011 box set celebrates the 13-film collaboration between composer Danny Elfman and what film director?,TIM BURTON,,"On March 4, 2010, baby Cecelia Marie Halpert was “born” on an emotional episode of what hit TV series?",THE OFFICE,,"In the cable drama “Boss,” Kelsey Grammar plays a crooked mayor of what U.S. city?",CHICAGO
A 2011 New York Times obituary for the late Peter Falk discussed the actor’s 30-plus year gig as what TV character?,COLUMBO,,"On television, Dr. Gregory House’s apartment number is “221B,” a nod to what famous literary sleuth’s address?",SHERLOCK HOMES,,"In the Charles Dickens novel “A Christmas Carol,” what is the last name of the young Tiny Tim?",CRATCHIT
"A 20th-century fashion icon, Gabrielle Chanel was better known by what nickname?",COCO,,"On the 2010 Forbes 400 list, what billionaire identifies himself as residing in Medina, Washington?",BILL GATES,,"In the children’s book “The Little Engine That Could”,what is the engine attempting to deliver?",TOYS
A bill of fare is more commonly known as a what?,MENU,,"On the 2010 Fortune Global 500 list of the world’s largest companies,3 of the top 4 are in what sector?",OIL,,"In the children’s classic “Goodnight Moon,” what is the last thing that is bid “Goodnight”?",NOISES EVERYWHERE
A bit in a gossip column that doesn’t mention any names is often called a what?,BLIND ITEM,,"On the cartoon series Scooby-Doo, Where Are You, which character usually wears an ascot?",FRED,,"In the children’s rhyme “This Little Piggy,” where did the first little piggy go?",TO MARKET
"A bit of folk wisdom warns that when you point a finger at someone, how many fingers are pointing back at you?",THREE,,"On the children’s TV “Dora the Explorer,” Dora’s best friend Boots is what kind of animal?",MONKEY,,"In the classic animated movie “The Little Mermaid,” Ariel’s best friend is a fish named what?",FLOUNDER
A blacksmith works primarily with what metal?,IRON,,"On the classic sitcom “Happy Days,” what was the name of Richie’s practical joke-loving buddy,played by actor Don Most?",RALPH MALPH,,"In the classic arcade game Centipede,players battle all but which of these deadly creatures?",WASPS
A blanket or shawl made of colored squares sewn or crocheted together is called a what?,AFGHAN,,"On the classic sitcom “I Love Lucy,” Lucy often went on auditions using what maiden name instead of Mrs. Ricardo?",MCGILLICUDDY,,"In the classic book “The Swiss Family Robinson,” the Robinsons build a makeshift house where?",IN A TREE
